experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.1724,0.1690
0,False,2,0.4552,0.5070
0,False,4,0.5206,0.5400
0,False,6,0.6204,0.6220
0,False,8,0.6354,0.6380
0,False,10,0.6864,0.6830
0,False,12,0.5976,0.5650
0,False,14,0.7992,0.7910
0,False,16,0.7656,0.7300
0,False,18,0.8060,0.7730
0,False,20,0.7944,0.7690
0,False,22,0.7908,0.7420
0,False,24,0.8192,0.7780
0,False,26,0.8448,0.8000
0,False,28,0.8184,0.7840
0,False,30,0.8910,0.8210
0,False,32,0.8136,0.7860
0,False,34,0.8666,0.7880
0,False,36,0.9578,0.8620
0,False,38,0.9404,0.8380
0,False,40,0.9530,0.8630
0,False,42,0.9524,0.8510
0,False,44,0.8782,0.7980
0,False,46,0.9234,0.8380
0,False,48,0.9342,0.8390
0,False,49,0.9488,0.8230
0,True,0,0.1346,0.1300
0,True,2,0.3548,0.3800
0,True,4,0.3832,0.3930
0,True,6,0.5128,0.5120
0,True,8,0.5358,0.5500
0,True,10,0.5876,0.5680
0,True,12,0.6238,0.6140
0,True,14,0.7036,0.7250
0,True,16,0.6906,0.6660
0,True,18,0.7528,0.7410
0,True,20,0.7544,0.7490
0,True,22,0.8276,0.7940
0,True,24,0.7536,0.7220
0,True,26,0.7300,0.6990
0,True,28,0.8562,0.8270
0,True,30,0.8384,0.8130
0,True,32,0.8266,0.7760
0,True,34,0.8554,0.7920
0,True,36,0.8624,0.8290
0,True,38,0.8082,0.7830
0,True,40,0.8458,0.8230
0,True,42,0.9148,0.8730
0,True,44,0.9238,0.8640
0,True,46,0.9272,0.8630
0,True,48,0.9340,0.8680
0,True,50,0.9364,0.8700
0,True,52,0.9354,0.8710
0,True,54,0.9404,0.8660
0,True,56,0.9390,0.8690
0,True,58,0.9412,0.8740
0,True,59,0.9438,0.8700
1,False,0,0.1882,0.2110
1,False,2,0.4876,0.4260
1,False,4,0.5888,0.5690
1,False,6,0.6752,0.6570
1,False,8,0.6920,0.6950
1,False,10,0.7132,0.6910
1,False,12,0.7078,0.7000
1,False,14,0.7164,0.7190
1,False,16,0.7910,0.7500
1,False,18,0.7734,0.7400
1,False,20,0.8434,0.8000
1,False,22,0.7732,0.7330
1,False,24,0.8628,0.8180
1,False,26,0.8410,0.7820
1,False,28,0.7704,0.7220
1,False,30,0.8602,0.8150
1,False,32,0.8612,0.8050
1,False,34,0.8772,0.8150
1,False,36,0.9468,0.8600
1,False,38,0.9388,0.8700
1,False,40,0.9202,0.8460
1,False,42,0.9466,0.8680
1,False,44,0.9568,0.8610
1,False,46,0.9372,0.8370
1,False,48,0.9546,0.8600
1,False,49,0.9580,0.8490
1,True,0,0.5814,0.6040
1,True,2,0.7222,0.7210
1,True,4,0.6962,0.7200
1,True,6,0.7574,0.7440
1,True,8,0.7460,0.7190
1,True,10,0.8252,0.8120
1,True,12,0.8206,0.7730
1,True,14,0.8498,0.8210
1,True,16,0.7716,0.7600
1,True,18,0.8302,0.7890
1,True,20,0.8202,0.7810
1,True,22,0.8472,0.8110
1,True,24,0.8356,0.8010
1,True,26,0.8786,0.8260
1,True,28,0.8598,0.8060
1,True,30,0.7872,0.7630
1,True,32,0.8742,0.8250
1,True,34,0.8842,0.8160
1,True,36,0.8882,0.8240
1,True,38,0.8668,0.8110
1,True,40,0.8948,0.8500
1,True,42,0.9406,0.8840
1,True,44,0.9444,0.8840
1,True,46,0.9448,0.8840
1,True,48,0.9520,0.8890
1,True,50,0.9582,0.8860
1,True,52,0.9576,0.8840
1,True,54,0.9574,0.8850
1,True,56,0.9640,0.8850
1,True,58,0.9628,0.8840
1,True,59,0.9622,0.8820
2,False,0,0.2366,0.2850
2,False,2,0.5022,0.5150
2,False,4,0.5392,0.5660
2,False,6,0.5138,0.5200
2,False,8,0.5640,0.5910
2,False,10,0.6010,0.6200
2,False,12,0.6000,0.6250
2,False,14,0.7016,0.6990
2,False,16,0.7314,0.6840
2,False,18,0.7454,0.7060
2,False,20,0.7412,0.7250
2,False,22,0.7008,0.6670
2,False,24,0.8002,0.7390
2,False,26,0.7740,0.7300
2,False,28,0.7868,0.7320
2,False,30,0.7510,0.6940
2,False,32,0.7690,0.7180
2,False,34,0.8458,0.7510
2,False,36,0.8960,0.7970
2,False,38,0.9074,0.7950
2,False,40,0.8948,0.7740
2,False,42,0.9186,0.7850
2,False,44,0.9308,0.7940
2,False,46,0.9098,0.7720
2,False,48,0.9300,0.7850
2,False,49,0.9102,0.7790
2,True,0,0.5738,0.5840
2,True,2,0.7030,0.7110
2,True,4,0.7062,0.7160
2,True,6,0.7382,0.7100
