experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.0586,0.0892
0,False,2,0.2978,0.3856
0,False,4,0.2518,0.3061
0,False,6,0.2254,0.2330
0,False,8,0.4820,0.5032
0,False,10,0.3881,0.4334
0,False,12,0.3943,0.4279
0,False,14,0.4308,0.4754
0,False,16,0.5611,0.5772
0,False,18,0.3614,0.4461
0,False,19,0.4619,0.4829
0,True,0,0.2069,0.1922
0,True,2,0.3271,0.3853
0,True,4,0.6618,0.7105
0,True,6,0.7565,0.8081
0,True,8,0.8805,0.9048
0,True,10,0.8858,0.9087
0,True,12,0.9489,0.9495
0,True,14,0.9567,0.9695
0,True,16,0.9819,0.9894
0,True,18,0.9802,0.9840
0,True,19,0.9778,0.9828
1,False,0,0.0169,0.0504
1,False,2,0.1672,0.1948
1,False,4,0.3693,0.4208
1,False,6,0.3773,0.4313
1,False,8,0.7100,0.7268
1,False,10,0.1756,0.1959
1,False,12,0.3632,0.3913
1,False,14,0.5604,0.6376
1,False,16,0.5466,0.5977
1,False,18,0.4049,0.4566
1,False,19,0.6334,0.6585
1,True,0,0.7568,0.7894
1,True,2,0.9330,0.9556
1,True,4,0.9773,0.9902
1,True,6,0.9575,0.9833
1,True,8,0.9502,0.9654
1,True,10,0.9783,0.9848
1,True,12,0.9869,0.9916
1,True,14,0.9903,0.9919
1,True,16,0.9981,0.9988
1,True,18,0.9980,0.9988
1,True,19,0.9976,0.9997
2,False,0,0.1947,0.2333
2,False,2,0.2206,0.2372
2,False,4,0.2346,0.3269
2,False,6,0.3624,0.4639
2,False,8,0.5173,0.5407
2,False,10,0.7128,0.7713
2,False,12,0.2439,0.2810
2,False,14,0.5776,0.6221
2,False,16,0.2725,0.3141
2,False,18,0.3975,0.4274
2,False,19,0.4758,0.4927
2,True,0,0.7898,0.8135
2,True,2,0.9736,0.9821
2,True,4,0.9533,0.9514
2,True,6,0.9851,0.9912
2,True,8,0.9820,0.9806
2,True,10,0.9840,0.9821
2,True,12,0.9952,0.9957
2,True,14,0.9677,0.9903
2,True,16,0.9991,0.9988
2,True,18,0.9989,1.0000
2,True,19,0.9994,0.9994
3,False,0,0.0903,0.1093
3,False,2,0.2414,0.2468
3,False,4,0.3533,0.3497
3,False,6,0.4601,0.5049
3,False,8,0.2350,0.2789
3,False,10,0.6141,0.6720
3,False,12,0.4506,0.4340
3,False,14,0.4379,0.3913
3,False,16,0.4412,0.4239
3,False,18,0.4436,0.4960
3,False,19,0.4980,0.5220
3,True,0,0.8046,0.7963
3,True,2,0.9341,0.9536
3,True,4,0.9713,0.9698
3,True,6,0.9719,0.9719
3,True,8,0.9813,0.9801
3,True,10,0.9785,0.9890
3,True,12,0.9690,0.9731
3,True,14,0.9835,0.9829
3,True,16,0.9974,0.9979
3,True,18,0.9976,0.9948
3,True,19,0.9970,0.9979
4,False,0,0.2309,0.2869
4,False,2,0.3420,0.4062
4,False,4,0.3037,0.3320
4,False,6,0.3879,0.4412
4,False,8,0.3307,0.3288
4,False,10,0.2789,0.2878
4,False,12,0.6056,0.6436
4,False,14,0.3399,0.3638
4,False,16,0.6788,0.6810
4,False,18,0.6123,0.6136
4,False,19,0.4771,0.4653
4,True,0,0.8849,0.9062
4,True,2,0.9458,0.9582
4,True,4,0.9606,0.9736
4,True,6,0.9295,0.9421
4,True,8,0.9707,0.9825
4,True,10,0.9934,0.9958
4,True,12,0.9831,0.9878
4,True,14,0.9859,0.9858
4,True,16,0.9959,0.9982
4,True,18,0.9973,0.9991
4,True,19,0.9976,0.9985
5,False,0,0.0827,0.1050
5,False,2,0.2763,0.2882
5,False,4,0.2447,0.2519
5,False,6,0.5651,0.5918
5,False,8,0.0965,0.1032
