experience_idx,distillation,epoch,ce,distill
0,False,0,2.9466,0.0000
0,False,2,2.3218,0.0000
0,False,4,1.9024,0.0000
0,False,6,1.7400,0.0000
0,False,8,1.5804,0.0000
0,False,10,1.5201,0.0000
0,False,12,1.4918,0.0000
0,False,14,1.4873,0.0000
0,False,16,1.4143,0.0000
0,False,18,1.4333,0.0000
0,False,19,1.4103,0.0000
0,True,0,7.2998,25.4455
0,True,2,7.2565,22.8592
0,True,4,6.8273,16.7155
0,True,6,6.6924,14.0293
0,True,8,6.8458,12.2689
0,True,10,6.5126,12.5909
0,True,12,6.3977,10.5574
0,True,14,6.4383,10.4190
0,True,16,6.3708,10.1171
0,True,18,6.4455,9.7105
0,True,19,6.3900,10.1637
1,False,0,2.5294,0.0000
1,False,2,1.7714,0.0000
1,False,4,1.6357,0.0000
1,False,6,1.5281,0.0000
1,False,8,1.5408,0.0000
1,False,10,1.4560,0.0000
1,False,12,1.4818,0.0000
1,False,14,1.4699,0.0000
1,False,16,1.3999,0.0000
1,False,18,1.3957,0.0000
1,False,19,1.4360,0.0000
1,True,0,6.4654,12.8515
1,True,2,6.4275,9.8070
1,True,4,6.2451,10.6622
1,True,6,6.3771,9.8313
1,True,8,6.3311,9.8300
1,True,10,6.2371,9.3585
1,True,12,6.3286,9.4258
1,True,14,6.2929,9.4808
1,True,16,6.2173,9.4772
1,True,18,6.2359,9.4372
1,True,19,6.1800,9.3893
2,False,0,2.2258,0.0000
2,False,2,1.8180,0.0000
2,False,4,1.6362,0.0000
2,False,6,1.5371,0.0000
2,False,8,1.5290,0.0000
2,False,10,1.4375,0.0000
2,False,12,1.4640,0.0000
2,False,14,1.4084,0.0000
2,False,16,1.3945,0.0000
2,False,18,1.3972,0.0000
2,False,19,1.4120,0.0000
2,True,0,6.3975,12.1714
2,True,2,6.4689,10.6627
2,True,4,6.1933,9.9629
2,True,6,6.2806,9.7610
2,True,8,6.2195,9.8120
2,True,10,6.2618,9.6188
2,True,12,6.1832,9.5987
2,True,14,6.2086,9.7703
2,True,16,6.2491,9.5218
2,True,18,6.1630,9.6452
2,True,19,6.1748,9.9705
3,False,0,2.7729,0.0000
3,False,2,2.2512,0.0000
3,False,4,1.9036,0.0000
3,False,6,1.7216,0.0000
3,False,8,1.6257,0.0000
3,False,10,1.5542,0.0000
3,False,12,1.5202,0.0000
3,False,14,1.5245,0.0000
3,False,16,1.4555,0.0000
3,False,18,1.4509,0.0000
3,False,19,1.4157,0.0000
3,True,0,6.5930,12.1194
3,True,2,6.3998,10.2793
3,True,4,6.2654,10.7089
3,True,6,6.3533,10.3203
3,True,8,6.2596,10.2494
3,True,10,6.2241,10.3356
3,True,12,6.1662,10.4966
3,True,14,6.2490,10.4848
3,True,16,6.2400,10.0045
3,True,18,6.1762,9.9539
3,True,19,6.2396,10.0107
4,False,0,2.4057,0.0000
4,False,2,2.1154,0.0000
4,False,4,1.8757,0.0000
4,False,6,1.5839,0.0000
4,False,8,1.5410,0.0000
4,False,10,1.4502,0.0000
4,False,12,1.5120,0.0000
4,False,14,1.4746,0.0000
4,False,16,1.4446,0.0000
4,False,18,1.4102,0.0000
4,False,19,1.4051,0.0000
4,True,0,6.3353,11.7656
4,True,2,6.2769,10.7224
4,True,4,6.3865,10.2267
4,True,6,6.1762,9.9261
4,True,8,6.1989,10.4312
4,True,10,6.1667,9.9358
4,True,12,6.1829,9.7719
4,True,14,6.1845,10.0894
4,True,16,6.1549,9.8874
4,True,18,6.1339,10.5003
4,True,19,6.1795,9.5594
5,False,0,2.5303,0.0000
5,False,2,1.9867,0.0000
5,False,4,1.6931,0.0000
5,False,6,1.5453,0.0000
5,False,8,1.5146,0.0000
5,False,10,1.4795,0.0000
